Category,TikTok_Posts,IG_Posts,TikTok_Score,IG_Score,Buzz_Score,Buzz_Score TikTok Weighted,Baseline UK,Baseline US,Baseline Both,Norm Baseline UK,Norm Baseline US,Norm Baseline Both,Growth % US,Growth % UK,Growth % Delta,Growth Score Weighted US,Growth Score Weighted UK,Growth Score Weighted Both,Growth-Baseline Combined Score US,Growth-Baseline Combined Score UK,Growth-Baseline Combined Score Both,TMS UK,TMS US,TMS Both,Supply Count,Median Supply Count,Norm Supply Count,Opportunity Score UK,Opportunity Score US,Opportunity Score Both,High Interest US,High Interest UK,High Interest Both,Rising US,Rising UK,Rising Both,Underused
musky cat,993,1987,0.499726593,0,0.249863297,0.299835956,8.923076923,27.75,-18.8269,0.1473922902,0.4463296399,0.458293564,-10.2564,-66.6667,56.41025641,-0.102564,-0.666667,0.5641025641,0.116993456,-0.3410432839,0.5217789641,-0.1022570391,0.03507884471,0.1564480945,143,147,0.6455026455,-0.06214334528,0.02131801174,0.09507617319,0,0,0,0,0,1,1
gourmand cat,66500,29100,100,88.2785791,94.13928955,95.31143164,23.57692308,55.65384615,-32.0769,0.4929705215,0.9487534626,0.1202173501,23.40425532,-57.1429,80.54711246,0.2340425532,-0.571429,0.8054711246,0.519926917,-0.1456691914,0.5313696148,-13.88393918,49.5549788,50.64559872,161,151,0.7407407407,-7.975879953,28.46775378,29.09428012,1,0,0,1,0,1,0
citrus cat,4123,7841,5.253964396,19.06033276,12.15714858,10.77651174,25.96153846,58.5,-32.5385,0.5492063492,1,0.1084395403,28.07017544,-17.6471,45.71723,0.2807017544,-0.176471,0.4571723,0.5684210526,0.1137999397,0.3176791961,1.226366386,6.125596147,3.423473587,154,130.5,0.7037037037,0.7198237483,3.595458608,2.009430149,1,1,0,1,0,1,0
woody cat,2531,7306,2.835834498,17.31839937,10.07711694,8.628860449,31,51.53846154,-20.5385,0.6680272109,0.8746537396,0.4146217717,-4.83871,-28.8462,24.00744417,-0.0483871,-0.288462,0.2400744417,0.3208292358,0.09413368435,0.3098933737,0.8122664258,2.768390704,2.674026676,210,110,1,0.4061332129,1.384195352,1.337013338,1,1,0,0,0,1,0
spicy cat,695,3583,0.0470867,5.196496598,2.621791649,2.106850659,2.673076923,39.46153846,-36.7885,0,0.6572022161,0,0,-100,100,0,-1,1,0.2628808864,-0.6,0.6,-1.264110395,0.5538507688,1.264110395,151,99,0.6878306878,-0.7489556888,0.3281435589,0.7489556888,1,0,0,0,0,1,0
floral cat,17700,32700,25.8764202,100,62.9382101,55.52585212,44.40384615,48.51923077,-4.11538,0.9841269841,0.8202908587,0.8336607324,13.33333333,22.85714286,-9.52381,0.1333333333,0.2285714286,-0.0952381,0.4081163435,0.5307936508,0.276321433,29.47276976,22.66100774,15.34298302,201,88,0.9523809524,15.0958089,11.60685762,7.858601061,1,1,1,0,1,0,0
amber cat,1925,5218,1.915365454,10.51997525,6.217670354,5.357209374,21,37.13461538,-16.1346,0.4321995465,0.6153047091,0.5269880991,54.83870968,-37.931,92.76974416,0.5483870968,-0.37931,0.9276974416,0.5751541417,-0.05470618141,0.7674137046,-0.2930724678,3.08122116,4.111195892,110,59.5,0.4708994709,-0.1992471094,2.094787047,2.795021668,1,0,1,1,0,1,0
green cat,802,4106,0.209611763,6.899358578,3.55448517,2.885510489,45.07692308,42.67307692,2.403846154,1,0.7150277008,1,16.66666667,-8.51064,25.17730496,0.1666666667,-0.0851064,0.2517730496,0.3860110803,0.34893616,0.5510638298,1.00685895,1.113839021,1.590100461,21,31,0,1.00685895,1.113839021,1.590100461,1,1,1,0,0,1,1
fruity cat,13700,9013,19.80071693,22.87630645,21.33851169,21.03095274,28.21153846,47.44230769,-19.2308,0.6022675737,0.800900277,0.4479879804,-12.7273,-10.4167,-2.31061,-0.127273,-0.104167,-0.0231061,0.2439963108,0.1784068295,0.1653315322,3.752065599,5.131474881,3.477079639,88,59.5,0.3544973545,2.770079681,3.78847169,2.567062702,1,1,0,0,0,0,0
leather cat,664,4025,0,6.635626608,3.317813304,2.654250643,4.019230769,2.961538462,1.057692308,0.03174603175,0,0.9656526343,-100,-100,0,-1,-1,0,-0.6,-0.5873015873,0.3862610537,-1.558845616,-1.592550386,1.02523365,31,31,0.05291005291,-1.480511665,-1.512522728,0.9737143713,0,0,1,0,0,0,1
