note,market,month,value
Amber,UK,2024-08-01,57
Amber,UK,2024-09-01,47.2
Amber,UK,2024-10-01,50
Amber,UK,2024-11-01,75.75
Amber,UK,2024-12-01,85.2
Amber,UK,2025-01-01,45.5
Amber,UK,2025-02-01,49.5
Amber,UK,2025-03-01,54
Amber,UK,2025-04-01,42.25
Amber,UK,2025-05-01,46.75
Amber,UK,2025-06-01,43.6
Amber,UK,2025-07-01,50.75
Amber,UK,2025-08-01,52.5
Amber,US,2024-08-01,56.666666666666664
Amber,US,2024-09-01,57.2
Amber,US,2024-10-01,59.5
Amber,US,2024-11-01,72
Amber,US,2024-12-01,87.2
Amber,US,2025-01-01,51.25
Amber,US,2025-02-01,57.25
Amber,US,2025-03-01,51.8
Amber,US,2025-04-01,50.75
Amber,US,2025-05-01,55.5
Amber,US,2025-06-01,57.4
Amber,US,2025-07-01,61.75
Amber,US,2025-08-01,72.5
Ambergris,UK,2024-08-01,0
Ambergris,UK,2024-09-01,20
Ambergris,UK,2024-10-01,0
Ambergris,UK,2024-11-01,0
Ambergris,UK,2024-12-01,0
Ambergris,UK,2025-01-01,0
Ambergris,UK,2025-02-01,0
Ambergris,UK,2025-03-01,0
Ambergris,UK,2025-04-01,0
Ambergris,UK,2025-05-01,0
Ambergris,UK,2025-06-01,0
Ambergris,UK,2025-07-01,1.75
Ambergris,UK,2025-08-01,3
Ambergris,US,2024-08-01,0
Ambergris,US,2024-09-01,20
Ambergris,US,2024-10-01,0
Ambergris,US,2024-11-01,0.75
Ambergris,US,2024-12-01,2.2
Ambergris,US,2025-01-01,2.5
Ambergris,US,2025-02-01,1
Ambergris,US,2025-03-01,0
Ambergris,US,2025-04-01,1.25
Ambergris,US,2025-05-01,0
Ambergris,US,2025-06-01,0
Ambergris,US,2025-07-01,0.5
Ambergris,US,2025-08-01,2.5
Ambroxan,UK,2024-08-01,0
Ambroxan,UK,2024-09-01,0
Ambroxan,UK,2024-10-01,0
Ambroxan,UK,2024-11-01,0
Ambroxan,UK,2024-12-01,0
Ambroxan,UK,2025-01-01,0
Ambroxan,UK,2025-02-01,0
Ambroxan,UK,2025-03-01,0
Ambroxan,UK,2025-04-01,0
Ambroxan,UK,2025-05-01,0
Ambroxan,UK,2025-06-01,0
Ambroxan,UK,2025-07-01,21
Ambroxan,UK,2025-08-01,50
Ambroxan,US,2024-08-01,0
Ambroxan,US,2024-09-01,0
Ambroxan,US,2024-10-01,0
Ambroxan,US,2024-11-01,0
Ambroxan,US,2024-12-01,0
Ambroxan,US,2025-01-01,0
Ambroxan,US,2025-02-01,0
Ambroxan,US,2025-03-01,20
Ambroxan,US,2025-04-01,0
Ambroxan,US,2025-05-01,0
Ambroxan,US,2025-06-01,0
Ambroxan,US,2025-07-01,11.75
Ambroxan,US,2025-08-01,43.5
Apple,UK,2024-08-01,31
Apple,UK,2024-09-01,30.6
Apple,UK,2024-10-01,31
Apple,UK,2024-11-01,66.75
Apple,UK,2024-12-01,73
Apple,UK,2025-01-01,30.5
Apple,UK,2025-02-01,28.75
Apple,UK,2025-03-01,25.2
Apple,UK,2025-04-01,29
