Note,Growth % US,Growth % UK,Growth % Delta,Growth Score Weighted US,Growth Score Weighted UK,Growth Score Weighted Both,Baseline UK,Basline US,Baseline Both,Norm Baseline UK,Norm Baseline US,Norm Baseline Both,Growth-Baseline Combined Score US,Growth-Baseline Combined Score UK,Growth-Baseline Combined Score Both,TikTok_Posts,IG_Posts,TikTok_Score,IG_Score,Buzz_Score,Buzz_Score TikTok Weighted,TMS US,TMS UK,TMS Both,Supply Count,Norm Supply Count,Median Supply Count,Opportunity Score US,Opportunity Score UK,Opportunity Score Delta,High Interest US,High Interest UK,High Interest Both,Rising US,Rising UK,Rising Both,Underused
amber,36.36364,6.1224,30.24124,0.3636364,0.061224,0.3024124,54.01923,60.71154,-6.69231,0.9363332825,0.9158689159,0.9384930061,0.5845294064,0.411267713,0.5568446425,1925,5218,1.366217175,3.83535052,2.600783848,2.353870513,1.375906534,0.9680709426,1.310740184,91,0.02927748489,24.5,1.336769291,0.9405344592,1.273456578,1,1,1,1,0,1,0
ambergris,-97,-100,3,-0.97,-1,0.03,2.173077,2.692308,-0.51923,0.03766666649,0.04061503314,0.03979865031,-0.5657539867,-0.5849333334,0.03391946012,204,641,0.1447835344,0.4698598509,0.3073216927,0.274814061,-0.1554771506,-0.1607479048,0.009321544583,21,0.003586716419,24,-0.1549214912,-0.1601734082,0.009288230335,0,0,0,0,0,0,1
ambroxan,-54,-100,46,-0.54,-1,0.46,3.538462,4.5,-0.96154,0.06133333888,0.06788511907,0.06575429039,-0.2968459524,-0.5754666644,0.3023017162,19,18,0.01348474095,0.0117648789,0.01262480992,0.01279679613,-0.003798677135,-0.007364129585,0.003868493431,18,0.00008980823588,24.5,-0.003798336013,-0.007363468284,0.00386814604,0,0,0,0,0,1,1
apple,40.625,-31.7073,72.3323,0.40625,-0.317073,0.723323,36.03846,40.94231,-4.90385,0.624666615,0.6176385754,0.6296995501,0.4908054302,0.05962284601,0.68587362,850,820,0.6032647268,0.6014794335,0.6023720801,0.6025506095,0.2957351111,0.0359257822,0.4132735678,17,0.004591446057,25,0.2943834653,0.03576158481,0.4113847171,1,1,1,1,0,1,1
benzoin,-64,0,-64,-0.64,0,-0.64,,3.653846,,,0.0551203935,0.05977662168,-0.3619518426,0,-0.3600893513,542,7,0.3846699787,0.003676524655,0.1941732517,0.2322725971,-0.08407149451,0,-0.08363888882,21,0.0000280650737,26,-0.0840691351,0,-0.08363654156,0,0,0,0,0,0,1
bergamot,28.33333,-65.3846,93.71793,0.2833333,-0.653846,0.9371793,28.65385,62.13462,-33.4808,0.4966667135,0.937336906,0.7426459714,0.5449347424,-0.1936409146,0.8593659685,74,357,0.05251951739,0.2610332505,0.1567763839,0.1359250106,0.07407026064,-0.02632064337,0.1168093284,110,0.001992620233,27,0.07392296025,-0.02626830062,0.1165770346,1,0,1,1,0,1,0
black pepper,-100,-100,0,-1,-1,0,3.269231,3.596154,-0.32692,0.0566666684,0.05425007611,0.05615856851,-0.5782999696,-0.5773333326,0.0224634274,5,47,0.00354861604,0.03308872189,0.01831866897,0.01536465838,-0.008885381473,-0.008870529427,0.0003451428881,23,0.0002525856633,26,-0.00888313772,-0.008868289425,0.000345055732,0,0,0,0,0,0,1
blackcurrant,-100,-100,0,-1,-1,0,1.923077,2.961538,-1.03846,0.03333333333,0.04467652439,0.03995595092,-0.5821293902,-0.5866666667,0.01598238037,19,82,0.01348474095,0.05882439448,0.03615456771,0.03162060236,-0.01840728197,-0.01855075338,0.0005053724944,20,0.0004490411792,27,-0.01839902005,-0.01854242707,0.0005051456632,0,0,0,0,0,0,1
cardamom,5.882353,-100,105.882353,0.05882353,-1,1.05882353,3.884615,10.69231,-6.80769,0.06733332397,0.1612997194,0.1192386503,0.09981400578,-0.5730666704,0.6829895781,39,205,0.02767920511,0.149266901,0.08847305305,0.07631428346,0.00761723433,-0.04373317233,0.05212186027,37,0.001139441992,27,0.007608564812,-0.04368339763,0.05206253802,0,0,0,0,0,1,0
cashmeran,-11.5385,-34.7222,23.1837,-0.115385,-0.347222,0.231837,18.09615,45.82692,-27.7308,0.3136665875,0.6913257602,0.5228880982,0.2072993041,-0.08286656502,0.3482574393,120,199,0.08516678495,0.1448550714,0.1150109282,0.1090420995,0.02260435134,-0.009035944228,0.03797472234,27,0.001105763904,27,0.02257938387,-0.009025963643,0.03793277765,1,0,1,0,0,1,1
cedar,4,-100,104,0.04,-1,1.04,2.826923,42.32692,-39.5,0.04899999671,0.6385262231,0.369356589,0.2794104892,-0.5804000013,0.7717426356,24,147,0.01703335699,0.106619215,0.06182628599,0.05286770019,0.01477178998,-0.03068441326,0.04080025828,43,0.0008138871374,26,0.01475977718,-0.03065945992,0.04076707848,1,0,0,0,0,1,0
cedarwood,-38.961,-100,61.039,-0.38961,-1,0.61039,3.653846,11.05769,-7.40385,0.06333332813,0.1668116894,0.1203397628,-0.1670413242,-0.5746666687,0.4143699051,34,116,0.02413058907,0.08382476213,0.0539776756,0.04800825829,-0.008019363039,-0.02758874586,0.01989317743,24,0.0006398836804,25,-0.008014234861,-0.02757110356,0.01988045625,0,0,0,0,0,1,1
cinnamon,-53.6082,-100,46.3918,-0.536082,-1,0.463918,4.461538,28.71154,-24.25,0.07733332224,0.4331302915,0.2713544213,-0.1483970834,-0.5690666711,0.3868925685,341,308,0.2420156139,0.2250033089,0.2335094614,0.2352106919,-0.03490458067,-0.1338505654,0.09100126873,28,0.001717582511,26,-0.03484473196,-0.1336210603,0.09084523454,0,0,0,0,0,1,0
freesia,-58.3333,-40.3846,-17.9487,-0.583333,-0.403846,-0.179487,13.80769,27.13462,-13.3269,0.2393332838,0.4093415355,0.3349064213,-0.1862631858,-0.1465742865,0.02627036851,139,261,0.0986515259,0.1904439771,0.1445477515,0.1353685064,-0.02521416926,-0.01984154224,0.003556180547,16,0.001453770818,25,-0.02517756685,-0.01981273906,0.003551018181,0,0,0,0,0,0,1
